Rec ID,Received Date,Location,Title,Subtitle,Edition,Year,Type,Author,Volume No(s),Sub Beg Date,Sub End Date,Vendor ID,Publisher,ISBN or MAT No,Record Comments,Qty, Price Ea , Disc Ea , S/H Ea , Total Per Book , Original Cost(Balances at 3/31) ,Delete Date,Delete Code,Qty Deleted,Vols Deleted,Last Physical Inventory Date,Return to Inventory Date,Transfer To/From Agency,Transfer Date,Delete Comments,Voucher No.,Voucher Date, Voucher Amount ,Fiscal Year,Invoice #,Invoice Date,Appropriation Code,Sub Suba,DOC,Obligation No.,PC,Voucher Comments
,3/3/1984,2nd District,ILL REV STATUTES,,,,,,1983 - Vol 1-4,,,1011,West,,,1, $130.00 ,,, $130.00 , $130.00 ,,,,,,,,,,,,,1984,,,,,1560,,Y,
,3/3/1984,1st District,ILL REV STATUTES,,,,,,1983 - Vol. 1-4,,,1011,West,,,1, $130.00 , $12.50 , $7.50 , $125.00 , $125.00 ,,,,,,,,,,,,,1984,,,,,1560,,Y,
,4/1/1984,2nd District,RIGHTS OF JUVENILES,,,,,Davis,2nd Edition,,,1777,Clark Boardman,40697737,,1, $27.50 , $-   , $2.67 , $50.17 , $50.17 ,,,,,,,,,,,,,1984,,,,,1560,,Y,
,5/1/1984,1st District,US SUPREME COURT REPORTS 2D,,,,,,018,,,1790,Lawyers Co-Op,,,1, $26.00 , $-   , $-   , $26.00 , $26.00 ,,,,,,,,,,,,,1984,,,,,1560,,Y,
,6/6/1984,Administrative,CRIMINAL LAW DEFENSES,,,,,Robinson,01 - 02,,,1011,West,0314815139,,1, $90.00 , $-   , $-   , $90.00 , $90.00 ,,,,,,,,,,,,,1984,,,,,1560,,Y,
,7/1/1984,1st District,S-H STAT,,,,,,Ch 110,,,1011,West,,,1, $29.50 , $2.50 , $1.50 , $28.50 , $28.50 ,,,,,,,,,,,,,1984,,,,,1560,,Y,
,7/7/1984,2nd District,CRIMINAL LAW DEFENSES,,,,,Robinson,01 - 02,,,1011,West,0314815139,,1, $99.00 , $9.90 ,, $89.10 , $89.10 ,,,,,,,,,,,,,1984,,,,,1560,,Y,
,7/7/1984,4th District,CRIMINAL LAW DEFENSES,,,,,Robinson,01 - 02,,,1011,West,0314815139,,1, $99.00 , $9.90 ,, $89.10 , $89.10 ,,,,,,,,,,,,,1984,,,,,1560,,Y,
,7/7/1984,1st District,CRIMINAL LAW DEFENSES,,,,,Robinson,01 - 02,,,1011,West,0314815139,,1, $99.00 , $9.90 ,, $89.10 , $89.10 ,,,,,,,,,,,,,1984,,,,,1560,,Y,
,7/7/1984,2nd District,NE,,,,,,460,,,1011,West,,ADM SENT TO BELLEVILLE,1, $36.00 , $-   , $1.50 , $37.50 , $37.50 ,,,,,,,,,,,,,1985,,,,,1560,,Y,
,7/7/1984,5th District,NE,,,,,,460,,,1011,West,,,1, $36.00 ,, $1.50 , $37.50 , $37.50 ,,,,,,,,,,,,,1985,,,,,1560,,Y,
,8/1/1984,1st District,"USCA T.28 SUP&CLAIMS CT, CT INTL TRADE & FD RL OF EVID",,,,,,,,,1011,West,,,1, $57.00 , $11.00 , $3.00 , $49.00 , $49.00 ,,,,,,,,,,,,,1985,,,,,1560,,Y,
,8/8/1984,2nd District,NE,,,,,,461,,,1011,West,,ADM SENT TO BELLEVILLE,1, $36.00 , $-   , $1.50 , $37.50 , $37.50 ,,,,,,,,,,,,,1985,,,,,1560,,Y,
,8/8/1984,2nd District,NE,,,,,,462,,,1011,West,,ADM SENT TO BELLEVILLE,1, $36.00 , $-   , $1.50 , $37.50 , $37.50 ,,,,,,,,,,,,,1985,,,,,1560,,Y,
,8/8/1984,5th District,NE,,,,,,461,,,1011,West,,,1, $36.00 ,, $1.50 , $37.50 , $37.50 ,,,,,,,,,,,,,1985,,,,,1560,,Y,
,8/8/1984,5th District,NE,,,,,,462,,,1011,West,,,1, $36.00 ,, $1.50 , $37.50 , $37.50 ,,,,,,,,,,,,,1985,,,,,1560,,Y,
,10/10/1984,2nd District,ILL RULES & PRACTICE HANDBOOK 2D,,,,,,2nd Edition,,,1791,Legal Division,,,1, $38.00 , $-   , $0.85 , $38.85 , $38.85 ,,,,,,,,,,,,,1985,,,,,1560,,Y,
,10/10/1984,2nd District,"SIXTH ILL CONST CONVENTION-Dec. 8, 1969-Sept. 3, 1970",,,,,,1 - 7,,,1808,Secretary of State,,,1, $-   , $-   , $-   , $-   , $-   ,,,,,,,,,,,,,1985,,,,,1560,,Y,
,10/10/1984,1st District,"SIXTH ILL CONST CONVENTION-Dec. 8, 1969-Sept. 3, 1970",,,,,,1 - 7,,,1808,Secretary of State,,,2, $-   , $-   , $-   , $-   , $-   ,,,,,,,,,,,,,1985,,,,,1560,,Y,
,10/10/1984,2nd District,NE,,,,,,464,,,1011,West,,ADM SENT TO BELLEVILLE,1, $36.00 , $-   , $1.50 , $37.50 , $37.50 ,,,,,,,,,,,,,1985,,,,,1560,,Y,
,10/10/1984,5th District,NE,,,,,,464,,,1011,West,,,1, $36.00 ,, $1.50 , $37.50 , $37.50 ,,,,,,,,,,,,,1985,,,,,1560,,Y,
,10/10/1984,1st District,S-H STAT,,,,,,Ch 110,,,1011,West,,SEC 12-101 TO 13-223,1, $29.50 , $2.50 , $1.50 , $28.50 , $28.50 ,,,,,,,,,,,,,1985,,,,,1560,,Y,
,11/11/1984,3rd District,US SUPREME COURT REPORTS 2D,,,,,,074,,,1790,Lawyers Co-Op,,,1, $26.00 ,, $2.35 , $28.35 , $28.35 ,,,,,,,,,,,,,1985,,,,,1560,,Y,
,11/11/1984,5th District,US SUPREME COURT REPORTS 2D,,,,,,074,,,1790,Lawyers Co-Op,,,1, $26.00 ,, $2.35 , $28.35 , $28.35 ,,,,,,,,,,,,,1985,,,,,1560,,Y,
,11/11/1984,1st District,US SUPREME COURT REPORTS 2D,,,,,,074,,,1790,Lawyers Co-Op,,ADM & SPI SENT TO SURPLUS 05/05,1, $26.00 , $-   , $2.35 , $28.35 , $28.35 ,,,,,,,,,,,,,1985,,,,,1560,,Y,
,11/11/1984,2nd District,NE,,,,,,465,,,1011,West,,ADM SENT TO BELLEVILLE,1, $36.00 , $-   , $1.50 , $37.50 , $37.50 ,,,,,,,,,,,,,1985,,,,,1560,,Y,
,11/11/1984,2nd District,NE,,,,,,466,,,1011,West,,ADM SENT TO BELLEVILLE,1, $36.00 , $-   , $1.50 , $37.50 , $37.50 ,,,,,,,,,,,,,1985,,,,,1560,,Y,
,11/11/1984,5th District,NE,,,,,,465,,,1011,West,,,1, $36.00 ,, $1.50 , $37.50 , $37.50 ,,,,,,,,,,,,,1985,,,,,1560,,Y,
,11/11/1984,5th District,NE,,,,,,466,,,1011,West,,,1, $36.00 ,, $1.50 , $37.50 , $37.50 ,,,,,,,,,,,,,1985,,,,,1560,,Y,
,12/12/1984,4th District,GOLDSTEIN TRIAL TECHNIQUE 3D,,,,,,Rev Vol 1 - Binder,,,1774,Callaghan,,,1, $72.00 ,, $3.60 , $75.60 , $75.60 ,,,,,,,,,,,,,1985,,,,,1560,,Y,
,12/12/1984,5th District,GOLDSTEIN TRIAL TECHNIQUE 3D,,,,,,Rev Vol 1  - Binder,,,1774,Callaghan,,,1, $72.00 ,, $3.60 , $75.60 , $75.60 ,,,,,,,,,,,,,1985,,,,,1560,,Y,
,12/12/1984,1st District,GOLDSTEIN TRIAL TECHNIQUE 3D,,,,,Goldstein,Rev Vol 1,,,1774,Callaghan,978-0318650029,OTTAWA SENT TO SURPLUS 06/02,1, $72.00 , $-   , $3.60 , $75.60 , $75.60 ,,,,,,,,,,,,,1985,,,,,1560,,Y,ELGIN RECYCLED 10/10
,12/12/1984,2nd District,NE,,,,,,467,,,1011,West,,ADM SENT TO BELLEVILLE,1, $36.00 , $-   , $1.50 , $37.50 , $37.50 ,,,,,,,,,,,,,1985,,,,,1560,,Y,SCU SENT TO SURPLUS
,12/12/1984,5th District,NE,,,,,,467,,,1011,West,,,1, $36.00 ,, $1.50 , $37.50 , $37.50 ,,,,,,,,,,,,,1985,,,,,1560,,Y,
,1/1/1985,2nd District,NE,,,,,,468,,,1011,West,,ADM SENT TO BELLEVILLE,1, $37.00 , $-   , $1.50 , $38.50 , $38.50 ,,,,,,,,,,0,1/31/1985,,1985,,,,,1560,,Y,SCU SENT TO SURPLUS
,1/1/1985,5th District,NE,,,,,,468,,,1011,West,,,1, $37.00 ,, $1.50 , $38.50 , $38.50 ,,,,,,,,,,0,1/31/1985,,1985,,,,,1560,,Y,
,1/1/1985,2nd District,NE,,,,,,463,,,1011,West,,ADM SENT TO BELLEVILLE,1, $36.00 , $-   , $1.50 , $37.50 , $37.50 ,,,,,,,,,,,,,1985,,,,,1560,,Y,
,1/1/1985,5th District,NE,,,,,,463,,,1011,West,,,1, $36.00 ,, $1.50 , $37.50 , $37.50 ,,,,,,,,,,,,,1985,,,,,1560,,Y,
,1/1/1985,4th District,GOLDSTEIN TRIAL TECHNIQUE 3D,,,1987,,,Binder,,,1774,Callaghan,978-0318650029,,1, $85.00 ,, $5.10 , $90.10 , $90.10 ,,,,,,,,,,,1/13/1987,,1987,,,,,1560,,Y,
,2/2/1985,2nd District,SUCCESSFUL TECH CRIM TRIALS 2D,,,,,,,,,1790,Lawyers Co-Op,,,1, $56.50 , $-   , $2.60 , $59.10 , $59.10 ,,,,,,,,,,0,3/6/1985,,1985,,,,,1560,,Y,
,2/2/1985,2nd District,NE,,,,,,469,,,1011,West,,ADM SENT TO BELLEVILLE,1, $37.00 , $-   , $1.50 , $38.50 , $38.50 ,,,,,,,,,,0,3/6/1985,,1985,,,,,1560,,Y,SCU SENT TO SURPLUS
,2/2/1985,5th District,NE,,,,,,469,,,1011,West,,,1, $37.00 ,, $1.50 , $38.50 , $38.50 ,,,,,,,,,,0,3/6/1985,,1985,,,,,1560,,Y,
,3/3/1985,2nd District,US SUPREME COURT REPORTS 2D,,,,,,075,,,1790,Lawyers Co-Op,,,1, $26.00 ,, $2.60 , $28.60 , $28.60 ,,,,,,,,,,0,3/13/1985,,1985,,,,,1560,,Y,
,3/3/1985,3rd District,US SUPREME COURT REPORTS 2D,,,,,,075,,,1790,Lawyers Co-Op,,,1, $26.00 ,, $2.60 , $28.60 , $28.60 ,,,,,,,,,,0,3/13/1985,,1985,,,,,1560,,Y,
,3/3/1985,5th District,US SUPREME COURT REPORTS 2D,,,,,,075,,,1790,Lawyers Co-Op,,,1, $26.00 ,, $2.60 , $28.60 , $28.60 ,,,,,,,,,,0,3/13/1985,,1985,,,,,1560,,Y,
,3/3/1985,1st District,US SUPREME COURT REPORTS 2D,,,,,,075,,,1790,Lawyers Co-Op,,ADM & SPI SENT TO SURPLUS 05/05,1, $26.00 , $-   , $2.60 , $28.60 , $28.60 ,,,,,,,,,,0,3/13/1985,,1985,,,,,1560,,Y,
,3/3/1985,2nd District,NE,,,,,,470,,,1011,West,,ADM SENT TO BELLEVILLE,1, $37.00 , $-   , $1.50 , $38.50 , $38.50 ,,,,,,,,,,0,3/29/1985,,1985,,,,,1560,,Y,SCU SENT TO SURPLUS
,3/3/1985,5th District,NE,,,,,,470,,,1011,West,,,1, $37.00 ,, $1.50 , $38.50 , $38.50 ,,,,,,,,,,0,3/29/1985,,1985,,,,,1560,,Y,
,4/4/1985,2nd District,NE,,,,,,471,,,1011,West,,ADM SENT TO BELLEVILLE,1, $37.00 , $-   , $1.50 , $38.50 , $38.50 ,,,,,,,,,,0,4/23/1985,,1985,,,,,1560,,Y,SCU SENT TO SURPLUS
,4/4/1985,5th District,NE,,,,,,471,,,1011,West,,,1, $37.00 ,, $1.50 , $38.50 , $38.50 ,,,,,,,,,,0,4/23/1985,,1985,,,,,1560,,Y,
,5/5/1985,4th District,WRITTEN AND ORAL ADVOCACY,,,,,Fontham,,,,1786,John Wiley,0471871244,,1, $50.00 , $-   , $3.90 , $53.90 , $53.90 ,,,,,,,,,,0,5/16/1985,,1985,,,,,1560,,Y,
,5/5/1985,2nd District,NE,,,,,,472,,,1011,West,,ADM SENT TO BELLEVILLE,1, $37.00 , $-   , $1.50 , $38.50 , $38.50 ,,,,,,,,,,0,5/16/1985,,1985,,,,,1560,,Y,SCU SENT TO SURPLUS
,5/5/1985,5th District,NE,,,,,,472,,,1011,West,,,1, $37.00 ,, $1.50 , $38.50 , $38.50 ,,,,,,,,,,0,5/16/1985,,1985,,,,,1560,,Y,
,6/6/1985,2nd District,WRITTEN AND ORAL ADVOCACY,,,,,,,,,1786,John Wiley,,,1, $75.00 ,, $3.90 , $78.90 , $78.90 ,,,,,,,,,,0,6/11/1985,,1985,,,,,1560,,Y,
,6/6/1985,5th District,WRITTEN AND ORAL ADVOCACY,,,,,,,,,1786,John Wiley,,,1, $75.00 ,, $3.90 , $78.90 , $78.90 ,,,,,,,,,,0,6/11/1985,,1985,,,,,1560,,Y,
,6/6/1985,1st District,WRITTEN AND ORAL ADVOCACY,,,,,Michael R. Fontham,,,,1786,John Wiley,0471871244,OTTAWA SENT TO SURPLUS 06/02,1, $75.00 , $-   , $3.90 , $78.90 , $78.90 ,,,,,,,,,,0,6/11/1985,,1985,,,,,1560,,Y,
,6/6/1985,2nd District,NE,,,,,,473,,,1011,West,,ADM SENT TO BELLEVILLE,1, $37.00 , $-   , $1.50 , $38.50 , $38.50 ,,,,,,,,,,0,6/12/1985,,1985,,,,,1560,,Y,SCU SENT TO SURPLUS
,6/6/1985,5th District,NE,,,,,,473,,,1011,West,,,1, $37.00 ,, $1.50 , $38.50 , $38.50 ,,,,,,,,,,0,6/12/1985,,1985,,,,,1560,,Y,
,6/6/1985,1st District,S-H STAT,,,,,,Ch 32,,,1011,West,,,1, $175.00 , $-   , $7.00 , $182.00 , $182.00 ,,,,,,,,,,0,6/12/1985,,1985,,,,,1560,,Y,
,6/6/1985,2nd District,NE,,,,,,474,,,1011,West,,ADM SENT TO BELLEVILLE,1, $37.00 , $-   , $1.50 , $38.50 , $38.50 ,,,,,,,,,,0,7/11/1985,,1985,,,,,1560,,Y,SCU SENT TO SURPLUS
,6/6/1985,5th District,NE,,,,,,474,,,1011,West,,,1, $37.00 ,, $1.50 , $38.50 , $38.50 ,,,,,,,,,,0,7/11/1985,,1985,,,,,1560,,Y,
,7/7/1985,1st District,S-H STAT,,,,,,Ch 110A,,,1011,West,,SEC 361 TO 600,3, $30.50 , $-   , $0.75 , $31.25 , $93.75 ,,,,,,,,,,0,8/6/1985,,1986,,,,,1560,,Y,
,7/7/1985,2nd District,NE,,,,,,475,,,1011,West,,ADM SENT TO BELLEVILLE,1, $37.00 , $-   , $1.50 , $38.50 , $38.50 ,,,,,,,,,,0,8/13/1985,,1986,,,,,1560,,Y,SCU SENT TO SURPLUS
,7/7/1985,5th District,NE,,,,,,475,,,1011,West,,,1, $37.00 ,, $1.50 , $38.50 , $38.50 ,,,,,,,,,,0,8/13/1985,,1986,,,,,1560,,Y,
,8/8/1985,2nd District,US SUPREME COURT REPORTS 2D,,,,,,076,,,1790,Lawyers Co-Op,,,1, $26.00 ,, $2.60 , $28.60 , $28.60 ,,,,,,,,,,0,8/30/1985,,1986,,,,,1560,,Y,
,8/8/1985,3rd District,US SUPREME COURT REPORTS 2D,,,,,,076,,,1790,Lawyers Co-Op,,,1, $26.00 ,, $2.60 , $28.60 , $28.60 ,,,,,,,,,,0,8/30/1985,,1986,,,,,1560,,Y,
,8/8/1985,1st District,US SUPREME COURT REPORTS 2D,,,,,,076,,,1790,Lawyers Co-Op,,ADM & SPI SENT TO SURPLUS 05/05,1, $26.00 , $-   , $2.60 , $28.60 , $28.60 ,,,,,,,,,,0,8/30/1985,,1986,,,,,1560,,Y,
,8/8/1985,2nd District,NE,,,,,,476,,,1011,West,,ADM SENT TO BELLEVILLE,1, $37.00 , $-   , $1.50 , $38.50 , $38.50 ,,,,,,,,,,0,8/13/1985,,1986,,,,,1560,,Y,SCU SENT TO SURPLUS
,8/8/1985,5th District,NE,,,,,,476,,,1011,West,,,1, $37.00 ,, $1.50 , $38.50 , $38.50 ,,,,,,,,,,0,8/13/1985,,1986,,,,,1560,,Y,
,8/8/1985,5th District,US SUPREME COURT REPORTS 2D,,,,,,076,,,1011,West,,,1, $26.00 ,, $2.60 , $28.60 , $28.60 ,,,,,,,,,,0,8/30/1985,,1986,,,,,1560,,Y,
,9/9/1985,2nd District,NE,,,,,,477,,,1011,West,,ADM SENT TO BELLEVILLE,1, $37.00 , $-   , $2.00 , $39.00 , $39.00 ,,,,,,,,,,0,9/13/1985,,1986,,,,,1560,,Y,SCU SENT TO SURPLUS
,9/9/1985,5th District,NE,,,,,,477,,,1011,West,,,1, $37.00 ,, $2.00 , $39.00 , $39.00 ,,,,,,,,,,0,9/13/1985,,1986,,,,,1560,,Y,
,10/10/1985,2nd District,NE,,,,,,478,,,1011,West,,ADM SENT TO BELLEVILLE,1, $37.00 , $-   , $2.00 , $39.00 , $39.00 ,,,,,,,,,,0,10/9/1985,,1986,,,,,1560,,Y,SCU SENT TO SURPLUS
,10/10/1985,5th District,NE,,,,,,478,,,1011,West,,,1, $37.00 ,, $2.00 , $39.00 , $39.00 ,,,,,,,,,,0,10/9/1985,,1986,,,,,1560,,Y,
,10/10/1985,1st District,S-H STAT,,,,,,Ch 32,,,1011,West,,SEC 1 TO 157,1, $30.50 , $2.50 , $1.50 , $29.50 , $29.50 ,,,,,,,,,,0,10/9/1985,,1986,,,,,1560,,Y,
,10/10/1985,2nd District,NE,,,,,,479,,,1011,West,,ADM SENT TO BELLEVILLE,1, $37.00 , $-   , $2.00 , $39.00 , $39.00 ,,,,,,,,,,0,10/28/1985,,1986,,,,,1560,,Y,SCU SENT TO SURPLUS
,10/10/1985,5th District,NE,,,,,,479,,,1011,West,,,1, $37.00 ,, $2.00 , $39.00 , $39.00 ,,,,,,,,,,0,10/28/1985,,1986,,,,,1560,,Y,
,11/11/1985,5th District,GOLDSTEIN TRIAL TECHNIQUE 3D,,,,,,Rev Vol 2 - Binder,,,1774,Callaghan,,,1, $79.00 ,,, $79.00 , $79.00 ,,,,,,,,,,0,,,1986,,,,,1560,,Y,
,11/11/1985,1st District,GOLDSTEIN TRIAL TECHNIQUE 3D,,,,,,Rev Vol 2,,,1774,Callaghan,978-0318650029,OTTAWA SENT TO SURPLUS 06/02,1, $79.00 , $-   , $4.34 , $83.34 , $83.34 ,,,,,,,,,,0,,,1986,,,,,1560,,Y,ELGIN RECYCLED 10/10
,11/11/1985,3rd District,SUTHERLAND STATUTORY CONSTRUCTION,,,,,,Rev Vol 1,,,1774,Callaghan,BINDER,,1, $75.00 , $-   , $4.35 , $79.35 , $79.35 ,,,,,,,,,,0,,,1986,,,,,1560,,Y,
,11/11/1985,2nd District,US SUPREME COURT REPORTS 2D,,,,,,077,,,1790,Lawyers Co-Op,,,1, $27.00 ,, $2.60 , $29.60 , $29.60 ,,,,,,,,,,0,11/15/1985,,1986,,,,,1560,,Y,
,11/11/1985,3rd District,US SUPREME COURT REPORTS 2D,,,,,,077,,,1790,Lawyers Co-Op,,,1, $27.00 ,, $2.60 , $29.60 , $29.60 ,,,,,,,,,,0,11/15/1985,,1986,,,,,1560,,Y,
,11/11/1985,5th District,US SUPREME COURT REPORTS 2D,,,,,,077,,,1790,Lawyers Co-Op,,,1, $27.00 ,, $2.60 , $29.60 , $29.60 ,,,,,,,,,,0,11/15/1985,,1986,,,,,1560,,Y,
,11/11/1985,1st District,US SUPREME COURT REPORTS 2D,,,,,,077,,,1790,Lawyers Co-Op,,ADM & SPI SENT TO SURPLUS 05/05,1, $27.00 , $-   , $2.60 , $29.60 , $29.60 ,,,,,,,,,,0,11/15/1985,,1986,,,,,1560,,Y,
,11/11/1985,2nd District,NE,,,,,,480,,,1011,West,,ADM SENT TO BELLEVILLE,1, $37.00 , $-   , $2.00 , $39.00 , $39.00 ,,,,,,,,,,0,11/15/1985,,1986,,,,,1560,,Y,SCU SENT TO SURPLUS
,11/11/1985,5th District,NE,,,,,,480,,,1011,West,,,1, $37.00 ,, $2.00 , $39.00 , $39.00 ,,,,,,,,,,0,11/15/1985,,1986,,,,,1560,,Y,
,11/11/1985,1st District,S-H STAT,,,,,,Ch 56 - 56 1/2,,,1011,West,,Fish - Foods & Drugs,2, $30.50 , $-   , $0.75 , $31.25 , $62.50 ,,,,,,,,,,0,11/18/1985,,1986,,,,,1560,,Y,
,11/11/1985,1st District,S-H STAT,,,,,,Ch 56 - 56 1/2,,,1011,West,,Fish - Food & Drugs,1, $30.50 , $2.50 , $1.50 , $29.50 , $29.50 ,,,,,,,,,,0,11/21/1985,,1986,,,,,1560,,Y,
,11/11/1985,2nd District,NE,,,,,,481,,,1011,West,,ADM SENT TO BELLEVILLE,1, $37.00 , $-   , $2.00 , $39.00 , $39.00 ,,,,,,,,,,0,12/20/1985,,1986,,,,,1560,,Y,SCU SENT TO SURPLUS
,11/11/1985,5th District,NE,,,,,,481,,,1011,West,,,1, $37.00 ,, $2.00 , $39.00 , $39.00 ,,,,,,,,,,0,12/20/1985,,1986,,,,,1560,,Y,
,12/12/1985,1st District,CONSTITUTIONAL RIGHTS OF THE ACCUSED,,2d,,,,01,,,1790,Lawyers Co-Op,B0073GF19M,,1, $56.50 , $-   , $2.60 , $59.10 , $59.10 ,,,,,,,,,,0,12/20/1985,,1986,,,,,1560,,Y,
,1/1/1986,2nd District,US SUPREME COURT REPORTS 2D,,,,,,078,,,1790,Lawyers Co-Op,,,1, $27.00 ,, $2.60 , $29.60 , $29.60 ,,,,,,,,,,0,1/17/1986,,1986,,,,,1560,,Y,
,1/1/1986,3rd District,US SUPREME COURT REPORTS 2D,,,,,,078,,,1790,Lawyers Co-Op,,,1, $27.00 ,, $2.60 , $29.60 , $29.60 ,,,,,,,,,,0,1/17/1986,,1986,,,,,1560,,Y,
,1/1/1986,5th District,US SUPREME COURT REPORTS 2D,,,,,,078,,,1790,Lawyers Co-Op,,,1, $27.00 ,, $2.60 , $29.60 , $29.60 ,,,,,,,,,,0,1/17/1986,,1986,,,,,1560,,Y,
,1/1/1986,1st District,US SUPREME COURT REPORTS 2D,,,,,,078,,,1790,Lawyers Co-Op,,ADM & SPI SENT TO SURPLUS 05/05,1, $27.00 , $-   , $2.60 , $29.60 , $29.60 ,,,,,,,,,,0,1/17/1986,,1986,,,,,1560,,Y,
,1/1/1986,2nd District,NE,,,,,,482,,,1011,West,,ADM SENT TO BELLEVILLE,1, $37.00 , $-   , $2.00 , $39.00 , $39.00 ,,,,,,,,,,0,1/17/1986,,1986,,,,,1560,,Y,SCU SENT TO SURPLUS
,1/1/1986,5th District,NE,,,,,,482,,,1011,West,,,1, $37.00 , $2.00 ,, $35.00 , $35.00 ,,,,,,,,,,0,1/17/1986,,1986,,,,,1560,,Y,
,1/1/1986,1st District,S-H STAT,,,,,,"Ch 133-140, 141-148",,,1011,West,,,1, $61.00 , $5.00 , $2.00 , $58.00 , $58.00 ,,,,,,,,,,0,1/27/1986,,1986,,,,,1560,,Y,
,2/2/1986,2nd District,NE,,,,,,483,,,1011,West,,ADM SENT TO BELLEVILLE,1, $39.00 , $-   , $1.75 , $40.75 , $40.75 ,,,,,,,,,,0,2/20/1986,,1986,,,,,1560,,Y,SCU SENT TO SURPLUS
,2/2/1986,5th District,NE,,,,,,483,,,1011,West,,,1, $39.00 ,, $1.75 , $40.75 , $40.75 ,,,,,,,,,,0,2/20/1986,,1986,,,,,1560,,Y,
,2/2/1986,2nd District,NE,,,,,,484,,,1011,West,,ADM SENT TO BELLEVILLE,1, $39.00 , $-   , $1.75 , $40.75 , $40.75 ,,,,,,,,,,0,3/10/1986,,1986,,,,,1560,,Y,SCU SENT TO SURPLUS
,2/2/1986,5th District,NE,,,,,,484,,,1011,West,,,1, $39.00 ,, $1.75 , $40.75 , $40.75 ,,,,,,,,,,0,3/10/1986,,1986,,,,,1560,,Y,
,3/3/1986,1st District,US SUPREME COURT REPORTS 2D,,,,,,061,,,1790,Lawyers Co-Op,,,1, $27.00 , $-   , $-   , $27.00 , $27.00 ,,,,,,,,,,0,3/19/1986,,1986,,,,,1560,,Y,
,3/3/1986,1st District,ILL REV STATUTES,,,,,,1985 w/1986 Pamp,,,1011,West,,,1, $182.00 , $15.00 , $7.50 , $174.50 , $174.50 ,,,,,,,,,,0,3/26/1986,,1986,,,,,1560,,Y,
,4/4/1986,2nd District,US SUPREME COURT REPORTS 2D,,,,,,079,,,1790,Lawyers Co-Op,,,1, $27.00 ,, $2.65 , $29.65 , $29.65 ,,,,,,,,,,0,4/24/1986,,1986,,,,,1560,,Y,
,4/4/1986,3rd District,US SUPREME COURT REPORTS 2D,,,,,,079,,,1790,Lawyers Co-Op,,,1, $27.00 ,, $2.65 , $29.65 , $29.65 ,,,,,,,,,,0,4/24/1986,,1986,,,,,1560,,Y,
,4/4/1986,5th District,US SUPREME COURT REPORTS 2D,,,,,,079,,,1790,Lawyers Co-Op,,,1, $27.00 ,, $2.65 , $29.65 , $29.65 ,,,,,,,,,,0,4/24/1986,,1986,,,,,1560,,Y,
,4/4/1986,1st District,US SUPREME COURT REPORTS 2D,,,,,,079,,,1790,Lawyers Co-Op,,"ADM, SPI & SCU SENT TO SURPLUS 05/05",1, $27.00 , $-   , $2.65 , $29.65 , $29.65 ,,,,,,,,,,0,4/24/1986,,1986,,,,,1560,,Y,
,4/4/1986,2nd District,NE,,,,,,485,,,1011,West,,ADM SENT TO BELLEVILLE; SCU TO SURPLUS,1, $39.00 , $-   , $1.75 , $40.75 , $40.75 ,,,,,,,,,,0,4/16/1986,,1986,,,,,1560,,Y,
,4/4/1986,5th District,NE,,,,,,485,,,1011,West,,,1, $39.00 ,, $1.75 , $40.75 , $40.75 ,,,,,,,,,,0,4/16/1986,,1986,,,,,1560,,Y,
,4/4/1986,2nd District,NE,,,,,,486,,,1011,West,,ADM SENT TO BELLEVILLE; SCU TO SURPLUS,1, $39.00 , $-   , $1.75 , $40.75 , $40.75 ,,,,,,,,,,0,4/24/1986,,1986,,,,,1560,,Y,
,4/4/1986,5th District,NE,,,,,,486,,,1011,West,,,1, $39.00 ,, $1.75 , $40.75 , $40.75 ,,,,,,,,,,0,4/24/1986,,1986,,,,,1560,,Y,
,5/5/1986,2nd District,NE,,,,,,487,,,1011,West,,ADM SENT TO BELLEVILLE; SCU TO SURPLUS,1, $39.00 , $-   , $1.75 , $40.75 , $40.75 ,,,,,,,,,,0,5/15/1986,,1986,,,,,1560,,Y,
,5/5/1986,5th District,NE,,,,,,487,,,1011,West,,,1, $39.00 ,, $1.75 , $40.75 , $40.75 ,,,,,,,,,,0,5/15/1986,,1986,,,,,1560,,Y,
,6/6/1986,2nd District,NE,,,,,,488,,,1011,West,,ADM SENT TO BELLEVILLE; SCU TO SURPLUS,1, $39.00 , $-   , $1.75 , $40.75 , $40.75 ,,,,,,,,,,0,6/12/1986,,1986,,,,,1560,,Y,
,6/6/1986,5th District,NE,,,,,,488,,,1011,West,,,1, $39.00 ,, $1.75 , $40.75 , $40.75 ,,,,,,,,,,0,6/12/1986,,1986,,,,,1560,,Y,
,6/6/1986,1st District,S-H STAT,,,,,,Ch 95 1/2,,,1011,West,,SEC 1-100 TO 9,1, $36.00 , $-   , $-   , $36.00 , $36.00 ,,,,,,,,,,0,7/11/1986,,1986,,,,,1560,,Y,
,6/6/1986,2nd District,NE,,,,,,489,,,1011,West,,ADM SENT TO BELLEVILLE; SCU TO SURPLUS,1, $39.00 , $-   , $1.75 , $40.75 , $40.75 ,,,,,,,,,,0,7/24/1986,,1986,,,,,1560,,Y,
,6/6/1986,5th District,NE,,,,,,489,,,1011,West,,,1, $39.00 ,, $1.75 , $40.75 , $40.75 ,,,,,,,,,,0,7/24/1986,,1986,,,,,1560,,Y,
